PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
6-phosphogluconate dehydrogenase	Escherichia coli	468	P00350	57.83
Fumarate reductase flavoprotein subunit 	Escherichia coli	602	P00363	46.77
NADP-specific glutamate dehydrogenase 	Escherichia coli	447	P00370	58.78
Superoxide dismutase [Mn] 	Escherichia coli	206	P00448	66.59
Ribonucleoside-diphosphate reductase 1 subunit alpha 	Escherichia coli	761	P00452	44.79
Maltodextrin phosphorylase 	Escherichia coli	797	P00490	47.89
Aspartate aminotransferase 	Escherichia coli	396	P00509	62.26
PTS system mannitol-specific EIICBA component 	Escherichia coli	637	P00550	57.51
Bifunctional aspartokinase/homoserine dehydrogenase 1 	Escherichia coli	820	P00561	47.99
Bifunctional aspartokinase/homoserine dehydrogenase 2 	Escherichia coli	810	P00562	43.77
RNA polymerase sigma factor RpoD 	Escherichia coli	613	P00579	42.56
DNA polymerase I 	Escherichia coli	928	P00582	47.18
Alkaline phosphatase 	Escherichia coli	471	P00634	56.3
L-asparaginase 2 	Escherichia coli	348	P00805	59.07
Diaminopimelate decarboxylase 	Escherichia coli	420	P00861	45.97
Phosphoenolpyruvate carboxylase 	Escherichia coli	883	P00864	51.47
Anthranilate synthase component 1 	Escherichia coli	520	P00895	46.49
Aminodeoxychorismate synthase component 2 	Escherichia coli	187	P00903	51.13
Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase 	Escherichia coli	453	P00909	44.71
Threonine synthase 	Escherichia coli	428	P00934	48.48
Cystathionine gamma-synthase 	Escherichia coli	386	P00935	49.79
Mannose-6-phosphate isomerase 	Escherichia coli	391	P00946	49.1
Tryptophan--tRNA ligase 	Escherichia coli	334	P00954	44.63
Isoleucine--tRNA ligase 	Escherichia coli	938	P00956	55.94
Alanine--tRNA ligase 	Escherichia coli	876	P00957	56.82
Methionine--tRNA ligase 	Escherichia coli	677	P00959	44.01
Glycine--tRNA ligase beta subunit 	Escherichia coli	689	P00961	46.18
Glutamine--tRNA ligase 	Escherichia coli	554	P00962	46.98
Carbamoyl-phosphate synthase large chain 	Escherichia coli	1073	P00968	56.98
30S ribosomal protein S6 	Escherichia coli	135	P02358	64.19
30S ribosomal protein S7 	Escherichia coli	179	P02359	58.03
50S ribosomal protein L15 	Escherichia coli	144	P02413	67.37
Penicillin-binding protein 1A 	Escherichia coli	850	P02918	61.18
Ribose import binding protein RbsB	Escherichia coli	296	P02925	60.47
Broad specificity amino-acid racemase YgeA 	Escherichia coli	230	P03813	58.2
Protein MioC	Escherichia coli	147	P03817	44.81
4-hydroxy-tetrahydrodipicolinate reductase 	Escherichia coli	273	P04036	67.66
GMP synthase [glutamine-hydrolyzing] 	Escherichia coli	525	P04079	57.13
Esterase FrsA 	Escherichia coli	414	P04335	44.54
Ornithine carbamoyltransferase subunit I 	Escherichia coli	334	P04391	65.81
Glutathione synthetase 	Escherichia coli	316	P04425	46.75
Glutamate--tRNA ligase 	Escherichia coli	471	P04805	58.91
Leucine-specific-binding protein 	Escherichia coli	369	P04816	60.18
Aminopeptidase N 	Escherichia coli	870	P04825	51.58
Lipoprotein 28	Escherichia coli	272	P04846	45.57
Flagellin	Escherichia coli	498	P04949	43.61
3-deoxy-manno-octulosonate cytidylyltransferase 	Escherichia coli	248	P04951	54.51
Dihydroorotase 	Escherichia coli	348	P05020	46.96
Fumarate hydratase class II 	Escherichia coli	467	P05042	49.15
Polyribonucleotide nucleotidyltransferase 	Escherichia coli	711	P05055	58.67
3-dehydroquinate dehydratase 	Escherichia coli	252	P05194	55.89
Protease 3 	Escherichia coli	962	P05458	49.52
Erythronate-4-phosphate dehydrogenase 	Escherichia coli	378	P05459	50.35
Dihydroxy-acid dehydratase 	Escherichia coli	616	P05791	55.54
Ketol-acid reductoisomerase 	Escherichia coli	491	P05793	50.86
Quinone-dependent D-lactate dehydrogenase 	Escherichia coli	571	P06149	49.22
DNA topoisomerase 1 	Escherichia coli	865	P06612	56.54
Glutathione reductase 	Escherichia coli	450	P06715	67.22
Alpha-galactosidase 	Escherichia coli	451	P06720	49.06
Cystathionine beta-lyase MetC 	Escherichia coli	395	P06721	49.37
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex 	Escherichia coli	630	P06959	58.44
Ornithine carbamoyltransferase subunit F 	Escherichia coli	334	P06960	66.29
Deoxyuridine 5'-triphosphate nucleotidohydrolase 	Escherichia coli	152	P06968	68.86
Histidinol-phosphate aminotransferase 	Escherichia coli	356	P06986	46.93
Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase 	Escherichia coli	355	P06987	64.34
Outer membrane porin C 	Escherichia coli	367	P06996	43.49
ATP-dependent 6-phosphofructokinase isozyme 2 	Escherichia coli	309	P06999	48.42
Pyruvate dehydrogenase [ubiquinone] 	Escherichia coli	572	P07003	52.5
Gamma-glutamyl phosphate reductase 	Escherichia coli	417	P07004	63.84
Peptide chain release factor RF2 	Escherichia coli	365	P07012	43.42
Succinate dehydrogenase iron-sulfur subunit 	Escherichia coli	238	P07014	56.24
Protein UshA [Includes: UDP-sugar hydrolase 	Escherichia coli	550	P07024	61.61
Periplasmic AppA protein [Includes: Phosphoanhydride phosphohydrolase 	Escherichia coli	432	P07102	55.57
Valine--tRNA ligase 	Escherichia coli	951	P07118	49.83
Phenylalanine--tRNA ligase beta subunit 	Escherichia coli	795	P07395	49.25
Transcriptional regulatory protein TyrR	Escherichia coli	513	P07604	58.52
Homoserine O-succinyltransferase 	Escherichia coli	309	P07623	45.69
RecBCD enzyme subunit RecC 	Escherichia coli	1122	P07648	55.54
Thymidine phosphorylase 	Escherichia coli	440	P07650	46.15
1,4-alpha-glucan branching enzyme GlgB	Escherichia coli	728	P07762	50.52
Leucine--tRNA ligase 	Escherichia coli	860	P07813	48.51
D-alanine--D-alanine ligase B 	Escherichia coli	306	P07862	58.05
L-threonine 3-dehydrogenase 	Escherichia coli	341	P07913	49.95
Phosphoribosylglycinamide formyltransferase 	Escherichia coli	212	P08179	43.53
Dihydrofolate synthase/folylpolyglutamate synthase 	Escherichia coli	422	P08192	48.74
Isocitrate dehydrogenase [NADP] 	Escherichia coli	416	P08200	50.86
Orotidine 5'-phosphate decarboxylase 	Escherichia coli	245	P08244	55.35
Phenylalanine--tRNA ligase alpha subunit 	Escherichia coli	327	P08312	43.34
2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	Escherichia coli	647	P08331	58.68
8-oxo-dGTP diphosphatase 	Escherichia coli	129	P08337	58.41
D-alanyl-D-alanine carboxypeptidase DacC 	Escherichia coli	400	P08506	50.89
Phosphoenolpyruvate-protein phosphotransferase 	Escherichia coli	575	P08839	47.96
Malate synthase A 	Escherichia coli	533	P08997	54.57
N5-carboxyaminoimidazole ribonucleotide synthase 	Escherichia coli	355	P09029	56.31
Exodeoxyribonuclease III 	Escherichia coli	268	P09030	42.59
UDP-glucose 4-epimerase 	Escherichia coli	338	P09147	45.03
Galactose-1-phosphate uridylyltransferase 	Escherichia coli	348	P09148	41.47
2-isopropylmalate synthase 	Escherichia coli	523	P09151	50.43
Polyamine aminopropyltransferase 	Escherichia coli	288	P09158	50.79
PTS system N-acetylglucosamine-specific EIICBA component 	Escherichia coli	648	P09323	51.37
Protein GrpE 	Escherichia coli	197	P09372	43.95
Formate acetyltransferase 1 	Escherichia coli	760	P09373	51.35
Glycerophosphodiester phosphodiesterase	Escherichia coli	358	P09394	55.94
Mannitol-1-phosphate 5-dehydrogenase 	Escherichia coli	382	P09424	50.31
Lysine/arginine/ornithine-binding periplasmic protein 	Escherichia coli	260	P09551	53.34
Glutamate synthase [NADPH] large chain 	Escherichia coli	1486	P09831	58.25
Glutamate synthase [NADPH] small chain 	Escherichia coli	472	P09832	58.46
UvrABC system protein A 	Escherichia coli	940	P0A698	53.52
Acetate kinase 	Escherichia coli	400	P0A6A3	41.6
Acyl carrier protein 	Escherichia coli	78	P0A6A8	43.18
Cysteine desulfurase IscS 	Escherichia coli	404	P0A6B7	48.63
3-phosphoshikimate 1-carboxyvinyltransferase 	Escherichia coli	427	P0A6D3	51.82
Argininosuccinate synthase 	Escherichia coli	447	P0A6E4	44.17
ATP synthase epsilon chain 	Escherichia coli	139	P0A6E6	61.26
Carbamoyl-phosphate synthase small chain 	Escherichia coli	382	P0A6F1	56.65
Glycerol kinase 	Escherichia coli	502	P0A6F3	47.1
60 kDa chaperonin 	Escherichia coli	548	P0A6F5	58.42
10 kDa chaperonin 	Escherichia coli	97	P0A6F9	49.67
ATP-dependent Clp protease proteolytic subunit 	Escherichia coli	207	P0A6G7	58.1
Phosphopantetheine adenylyltransferase 	Escherichia coli	159	P0A6I6	58.38
D-alanine--D-alanine ligase A 	Escherichia coli	364	P0A6J8	47.67
